Name,Ministry,Description,Sector,Target Audience,Level,Beneficiary State,Source,Source URL,Scheme ID,Is Active,Scraped At,Created At,Updated At
"AICTE - Swanath Scholarship Scheme - Degree","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427809082-1yse28w1m",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:09.130Z,2025-08-17T10:50:09.130Z
"AICTE - Swanath Scholarship Scheme - Diploma","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427809183-li16dzlzf",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:09.231Z,2025-08-17T10:50:09.231Z
"ATI Scheme (Training Component)","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427815867-nknnhhb14",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:15.916Z,2025-08-17T10:50:15.916Z
"Advanced Centre for Treatment, Research, and Education in Cancer ACTREC-Phd Programme","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427807150-n1o88t2fa",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:07.200Z,2025-08-17T10:50:07.200Z
"Anganwadi Services - Supplementary Nutrition Program","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427818688-5ge9w70zb",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:18.737Z,2025-08-17T10:50:18.737Z
"Anganwadi Services - Training Program","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427818996-aru0jiupf",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:19.047Z,2025-08-17T10:50:19.047Z
"Atal Pension Yojana","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427807730-h653uh5nh",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:07.779Z,2025-08-17T10:50:07.779Z
"Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana","Ministry Of Health & Family Welfare","No description available","Health & Wellness","Family","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","hqGzF5gBXu-iUKXqH3SW",Yes,2025-08-17T09:54:54.300Z,2025-08-15T16:25:33.424Z,2025-08-17T09:54:55.237Z
"Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (AB-PMJAY)","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427808348-u9r9xugl8",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:08.399Z,2025-08-17T10:50:08.399Z
"Begum Hazrat Mahal National Scholarship Scheme","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427815968-l3h7846ff",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:16.017Z,2025-08-17T10:50:16.017Z
"Central Scheme for Assistance to Civilian Victims (CSACV)","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427809588-cxl9o3b1e",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:09.638Z,2025-08-17T10:50:09.638Z
"Central Sector Scheme Of Top Class Education For SC Students","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427811861-pbnyo0l53",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:11.910Z,2025-08-17T10:50:11.910Z
"Central Sector Scheme of Assistance for Prevention of Alcoholism aAnd Substance (Drugs) Abuse and for Social Defence Services","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427811649-kfgg8oucb",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:11.698Z,2025-08-17T10:50:11.698Z
"Central Sector Scheme of Free Coaching for SC and OBC Students","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427811232-x23ahklno",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:11.284Z,2025-08-17T10:50:11.284Z
"Central Sector Scheme of National Fellowship for OBC Students","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427811128-fmp3rclc5",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:11.177Z,2025-08-17T10:50:11.177Z
"Central Sector Scheme of National Fellowship for providing scholarships to Scheduled Caste students to pursue programmes in Higher Education such as M.Phil. and Ph.D.","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427811025-z1onrv4p8",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:11.076Z,2025-08-17T10:50:11.076Z
"Central Sector Scheme of Top Class College Education for OBC, EBC and DNT Students","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427812164-0y5okukkc",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:12.212Z,2025-08-17T10:50:12.212Z
